#group,false,false,true,true,false,false,true,true,true,true,true,true,true,true
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string,string,string,string,string,string,string
#default,mean,,,,,,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,domain,entity_id,friendly_name,source,unit_of_measurement,version
,,0,2023-08-22T06:00:29.566008982Z,2023-08-22T09:00:29.566008982Z,2023-08-22T08:24:00Z,43.55,value,sensor,sensor,compensation_sensor_landing_festoons_plug_temperature,Hot Water Temperature,hass,°C,3253
,,0,2023-08-22T06:00:29.566008982Z,2023-08-22T09:00:29.566008982Z,2023-08-22T08:25:00Z,43.7,value,sensor,sensor,compensation_sensor_landing_festoons_plug_temperature,Hot Water Temperature,hass,°C,3253
,,0,2023-08-22T06:00:29.566008982Z,2023-08-22T09:00:29.566008982Z,2023-08-22T08:26:00Z,43.849999999999994,value,sensor,sensor,compensation_sensor_landing_festoons_plug_temperature,Hot Water Temperature,hass,°C,3253
,,0,2023-08-22T06:00:29.566008982Z,2023-08-22T09:00:29.566008982Z,2023-08-22T08:27:00Z,44.1,value,sensor,sensor,compensation_sensor_landing_festoons_plug_temperature,Hot Water Temperature,hass,°C,3253
,,0,2023-08-22T06:00:29.566008982Z,2023-08-22T09:00:29.566008982Z,2023-08-22T08:28:00Z,44.4,value,sensor,sensor,compensation_sensor_landing_festoons_plug_temperature,Hot Water Temperature,hass,°C,3253
,,0,2023-08-22T06:00:29.566008982Z,2023-08-22T09:00:29.566008982Z,2023-08-22T08:29:00Z,44.70000000000001,value,sensor,sensor,compensation_sensor_landing_festoons_plug_temperature,Hot Water Temperature,hass,°C,3253
,,0,2023-08-22T06:00:29.566008982Z,2023-08-22T09:00:29.566008982Z,2023-08-22T08:30:00Z,44.95,value,sensor,sensor,compensation_sensor_landing_festoons_plug_temperature,Hot Water Temperature,hass,°C,3253
,,0,2023-08-22T06:00:29.566008982Z,2023-08-22T09:00:29.566008982Z,2023-08-22T08:31:00Z,45.150000000000006,value,sensor,sensor,compensation_sensor_landing_festoons_plug_temperature,Hot Water Temperature,hass,°C,3253
,,0,2023-08-22T06:00:29.566008982Z,2023-08-22T09:00:29.566008982Z,2023-08-22T08:32:00Z,45.349999999999994,value,sensor,sensor,compensation_sensor_landing_festoons_plug_temperature,Hot Water Temperature,hass,°C,3253
,,0,2023-08-22T06:00:29.566008982Z,2023-08-22T09:00:29.566008982Z,2023-08-22T08:33:00Z,45.35,value,sensor,sensor,compensation_sensor_landing_festoons_plug_temperature,Hot Water Temperature,hass,°C,3253
